Stock,BuyPrice,BuyVolume,SellPrice,SellVolume
300003.SZ,221488.88024447064,43968072752,244763.46474537512,1007275071915
300009.SZ,91329.60218694992,21939127609,102175.59014807761,207060679449
300012.SZ,217129.3087353697,6107777362,236516.46854577117,136603434976
300017.SZ,54060.443513414095,49936991884,58988.591576190716,277323833966
300024.SZ,84500.87146238265,12816674962,96569.97755711195,115062006509
300026.SZ,55085.87898936416,163035229331,62125.20912059805,932933943722
300037.SZ,422598.0387518648,22136328556,452194.382541958,963302487447
300058.SZ,48067.60862423284,160021266045,53752.64984576593,799693881431
300072.SZ,40821.92430317201,189449642386,45016.304215312295,789608667391
300073.SZ,555078.935045895,26058258877,611104.7799520575,1504130931090
300088.SZ,57943.67697081523,24861075824,63870.3614306167,148846579052
300115.SZ,101255.93295036841,18674090793,111226.35145017659,196039282775
300136.SZ,158755.24141790855,12480713519,178020.49412110113,204455521382
300144.SZ,142689.2794978112,74037935940,154337.2531875168,1090241265698
300146.SZ,219634.9484188272,19453773161,239993.03355614247,444323367977
300168.SZ,78859.87790285582,27260172729,92966.88022625186,229800821424
300182.SZ,43285.24361747585,103305897750,47308.12637432323,458289751280
300212.SZ,195686.37831876855,74065836328,216561.59186844243,1524786622533
300244.SZ,243479.24188091536,20716375301,269596.0191638184,528680911189
300251.SZ,83233.13677523483,40917197992,91062.68144010755,353150753587
300253.SZ,99512.34365268808,60821815922,111779.94349703939,623320476753
300257.SZ,142645.72521826494,3077564649,156244.85437901874,46061342482
300285.SZ,267574.42094398197,5187905801,290660.46075934434,143493746170
300296.SZ,55507.19143585777,13722614225,60743.555648453126,78021328491
300308.SZ,264324.2745276774,12835078348,286834.2562534871,349768517565
300357.SZ,532514.2701047064,7676046529,589545.391702019,426903665387
300363.SZ,399833.3179680858,49605574621,445237.17469490954,2077970803196
300373.SZ,518482.456351639,8769434432,560229.7504747496,469306276871
300376.SZ,66315.07979839461,16978652161,73248.83010773892,115725458920
300383.SZ,78412.39819544078,18621040054,88336.30793590398,151920552253
300390.SZ,548216.0220701986,20294024759,588325.6936177155,1151007224417
300418.SZ,138341.06774500592,57880488129,152209.32450692187,823315822084
300463.SZ,166436.81376478844,11092095333,185206.35475063787,193496064200
300474.SZ,527902.9187768655,5868586908,588399.2960676649,322970693870
300482.SZ,308315.6196592759,35016667543,342120.69187543966,1122671849561
300558.SZ,466991.1330172965,2051739234,514516.05603108363,101408852874
300568.SZ,209070.41335998863,51913499857,231763.23401154348,1136981878758
300618.SZ,392764.6356843889,5744307879,432965.69080089516,232630744571
300630.SZ,240487.69108297257,11706149532,268144.53950919467,290293219292
300676.SZ,503214.18029505986,3534232799,555222.6656275709,183231759575
300677.SZ,204703.99894876222,19891815807,230262.14498902642,422337826917
300682.SZ,212614.62035833564,7931818772,229742.65257783703,175921196425
300699.SZ,708277.0681165208,6475679424,755356.863135806,474113101656
300724.SZ,1100982.170749732,11875042277,1188922.6316392934,1353285882714
300741.SZ,224777.7402603555,804117671,250427.91753177103,18808180161
300776.SZ,1212859.664827397,12152803736,1332496.0899038282,1538871424196
300832.SZ,479540.6654217156,7347969995,522651.43290258304,363892530712
300861.SZ,479191.4607026893,3367095307,540293.9228777894,167254548759
300866.SZ,569624.0376052528,1731911027,643237.2093011293,102267699086
300869.SZ,304542.10100992164,75724543792,361591.37108749856,2434852368489
300888.SZ,688455.7772104695,5323588973,754362.8951485504,377067759315
301029.SZ,638239.2371765627,1209092268,692491.7190097674,80799594868
600008.SH,28040.859737429626,57825859253,29147.755101580588,163224506446
600010.SH,18962.461040227918,417725513097,19852.010595003205,803225055725
600021.SH,97851.93748776561,114794487562,103995.98789091896,1143338189545
600022.SH,14593.57006797403,35294364084,15072.446396550396,52081939888
600026.SH,118492.77909074823,138144157464,126054.8281054586,1678426270501
600027.SH,57193.29967844726,227001309355,61127.01232912015,1328894224702
600030.SH,195028.90532947876,122833241365,206771.35296107252,2455338305013
600032.SH,112670.24938510956,5734626468,120216.02332813191,65442550289
600056.SH,169314.96456860122,389074591756,189872.0865655951,6800431811788
600060.SH,131015.31949703414,13386926960,139903.9181803885,179502997927
600062.SH,176441.55804071057,60541645254,189238.88432207174,1090710052486
600064.SH,65025.12770796042,11468936824,68737.95057289241,75712418190
600066.SH,74303.84804972279,40379254361,79274.69526471628,307784294636
600079.SH,233866.87824432712,39885257934,253549.5387237166,954028629699
600095.SH,75021.75484457205,49042999187,80213.19041107815,374780601067
600096.SH,205780.54178895525,76532289073,220207.75917311522,1615983127698
600104.SH,141183.43436091597,31347539858,149972.7179026152,452596036192
600109.SH,85517.01859457429,35846536123,89997.99396108481,311369508269
600118.SH,209574.1042083578,8472167134,224849.95651089796,182453444545
600126.SH,40727.00504622823,8720322980,42944.93865939586,35990016009
600131.SH,145620.4546900718,11467224453,156138.53594353702,171096123204
600141.SH,285578.5466788044,52643674159,307768.25844960567,1538681121564
600143.SH,94603.00972300874,34432803168,100856.7565847136,331872049661
600153.SH,133234.780361977,23468381200,142303.07732043945,322349184590
600155.SH,64128.425273980145,24612934016,67515.66176516058,160368657021
600157.SH,15054.898008731181,487959831228,15658.038657793963,741951041700
600160.SH,153677.58245667888,47820621248,161506.90618043477,752272987729
600161.SH,230986.0902004403,38804834663,247441.8284430076,920678271136
600166.SH,27702.25079213288,140497775810,29595.32416342167,397201653866
600167.SH,61978.78484369088,8437788952,66101.03539465088,53348915124
600170.SH,25517.46772900001,48797277527,26731.917285388536,126244993107
600171.SH,170952.46238473128,11904114344,183047.32144478554,208395803110
600177.SH,61772.69968282923,7636659313,65791.11099137107,48244659712
600195.SH,113508.83400255191,11669596818,120711.07316937772,134636176003
600201.SH,87872.58763669495,24284409331,93561.6349980096,216579427572
600208.SH,25027.51542698067,70955047096,26074.263989628605,179797269758
600216.SH,115358.139315156,17793231297,122742.58003000106,208246559734
600258.SH,243845.8643370021,22603784696,256839.77072873586,561483694088
600259.SH,396660.7847143253,10679256833,428741.9107032334,435603180280
600271.SH,102084.9828961266,5367010901,108669.99591999897,55829115851
600297.SH,20705.26740389095,110566985824,21614.916105620247,231651045478
600298.SH,441138.5577186462,9250353764,467704.7223655144,415654980292
